dataset,sample_size,k,clustering_method,percentage_above_threshold,mean_ratio,min_ratio,max_ratio,mean_offset,mean_fill_distance,threshold
MNIST,2000,2,kmeans,0.0,0.07828264187167448,0.07828264187167448,0.07828264187167448,10.499848071772833,113.78132629394531,0.5
MNIST,2000,3,kmeans,0.0,0.09038586676895588,0.0770995200011836,0.10917441745850492,11.343087490204596,112.19253540039062,0.5
MNIST,2000,4,kmeans,0.0,0.09709022458541462,0.07022861560565935,0.11303092302949524,11.908905376470505,114.45121192932129,0.5
MNIST,2000,5,kmeans,0.0,0.10970030970075362,0.06284265729008565,0.16650867430240024,12.864008056873853,109.09345397949218,0.5
MNIST,2000,6,kmeans,0.0,0.13043919329177556,0.07230788249242692,0.23092360550801466,14.556799763964175,106.12995020548503,0.5
MNIST,2000,7,kmeans,0.0,0.1485948473190874,0.06284265729008565,0.27402874573854547,16.337782449521303,98.65950557163784,0.5
MNIST,2000,8,kmeans,0.0,0.15284083404967538,0.09131236458367052,0.2439648878835811,16.924008272192644,99.39750671386719,0.5
MNIST,2000,9,kmeans,0.0,0.1640549538427804,0.08449615846848299,0.26002765928064087,17.75983887015412,96.19649081759982,0.5
MNIST,2000,10,kmeans,0.0,0.170174331954595,0.09977874227620982,0.2712083067917139,18.07386400422343,95.52222137451172,0.5
MNIST,2000,11,kmeans,18.181818181818183,0.3186158744796116,0.09977874227620982,1.4165761436779873,31.326345560073776,95.52222137451172,0.5
MNIST,2000,12,kmeans,15.384615384615385,0.31388212363221585,0.07929062832165554,1.6187842671424166,30.320651295975498,90.21831928599964,0.5
MNIST,2000,13,kmeans,13.157894736842104,0.3042451268659157,0.05852633419120803,1.7190267252808369,30.020981959080643,89.03315099080403,0.5
MNIST,2000,14,kmeans,11.363636363636363,0.30219504851072543,0.078638341234452,1.7495865689998045,30.417613274327806,89.44369682898888,0.5
MNIST,2000,15,kmeans,9.900990099009901,0.294544528847954,0.08445376059128333,1.7594621473883432,29.886715757568556,87.30339622497559,0.5
MNIST,2000,16,kmeans,8.695652173913043,0.2923723727766591,0.06954400862700627,1.7594621473883432,29.617440988215897,87.39443130493164,0.5
MNIST,2000,17,kmeans,7.6923076923076925,0.28218982688612576,0.05023113052210956,1.7594621473883432,28.578339670305226,85.69256520271301,0.5
MNIST,2000,18,kmeans,6.8493150684931505,0.2860347558278454,0.05138057175208643,2.163448091910757,28.08622184926271,83.36810325173771,0.5
MNIST,2000,19,kmeans,16.56441717791411,0.3944979398483039,0.05023113052210956,2.6143822779412003,35.12832446777616,81.80648669074563,0.5
MNIST,2000,20,kmeans,15.0,0.37502080416168504,0.05023113052210956,2.102366162024023,34.384612496745085,81.60964817470975,0.5
MNIST,1000,2,kmeans,0.0,0.10336435104444917,0.10336435104444917,0.10336435104444917,13.19099363895832,121.83652114868164,0.5
MNIST,1000,3,kmeans,0.0,0.09937081606611187,0.07570376066136736,0.11437698091231813,11.568648260132813,114.041015625,0.5
MNIST,1000,4,kmeans,0.0,0.12267597908013557,0.06917319580055027,0.1740476530799017,14.120807691392022,103.52837181091309,0.5
MNIST,1000,5,kmeans,0.0,0.1367571211242073,0.06917319580055027,0.18500377035039783,15.633629353836975,108.14092254638672,0.5
MNIST,1000,6,kmeans,0.0,0.15921205190696408,0.08855927050627392,0.24837374962542688,17.098407624786446,94.58552169799805,0.5
MNIST,1000,7,kmeans,0.0,0.17028394823462026,0.08895200195468925,0.26618538554194127,17.74527736072255,94.79513222830636,0.5
MNIST,1000,8,kmeans,0.0,0.17937899529586768,0.11675956179382875,0.2623418328684162,18.370857779905613,90.98664093017578,0.5
MNIST,1000,9,kmeans,0.0,0.19500778952138212,0.10120366164415054,0.3386376208085571,18.99688795399355,86.49686177571614,0.5
MNIST,1000,10,kmeans,0.0,0.19732639514557038,0.08865744072994378,0.30421799240322456,19.680924531497798,87.68448486328126,0.5
MNIST,1000,11,kmeans,18.181818181818183,0.3703226482570227,0.08865744072994378,1.5912865827023515,31.93468085567305,84.14132308959961,0.5
MNIST,1000,12,kmeans,15.384615384615385,0.36992102740079147,0.08865744072994378,1.5912865827023515,31.327276063444206,80.93015705455433,0.5
MNIST,1000,13,kmeans,13.157894736842104,0.34419865969989055,0.08817601410821663,1.4302285617632218,30.54575017365085,80.83042112986247,0.5
MNIST,1000,14,kmeans,11.363636363636363,0.3713008560212794,0.10884465242942873,1.9639599893644806,31.702301646320798,76.34107795128456,0.5
MNIST,1000,15,kmeans,9.900990099009901,0.36009857728554046,0.13177849164252003,1.9639599893644806,30.527425530069728,74.40259470258441,0.5
MNIST,1000,16,kmeans,20.869565217391305,0.49080352337175326,0.13177849164252003,2.1024044862284907,38.635012987384506,72.53033638000488,0.5
MNIST,1000,17,kmeans,29.457364341085274,0.587186694473942,0.13177849164252003,2.1024044862284907,45.55532148843821,72.53033638000488,0.5
MNIST,1000,18,kmeans,26.573426573426573,0.5623359227132566,0.09615513511485711,2.115698620470901,44.49422466396568,70.42396519978841,0.5
MNIST,1000,19,kmeans,24.050632911392405,0.5674269150290717,0.06409408202569848,2.1251868914290366,43.613756313080444,68.40443468093872,0.5
MNIST,1000,20,kmeans,31.03448275862069,0.6595133917838144,0.06409408202569848,2.3292269583600547,48.90345417873903,66.90858507156372,0.5
MNIST,500,2,kmeans,0.0,0.4526309047060669,0.4526309047060669,0.4526309047060669,51.0844318164538,83.01753807067871,0.5
MNIST,500,3,kmeans,33.33333333333333,0.37987553701582705,0.09303334818479937,0.5631577229546305,38.715119133474396,85.58192571004231,0.5
MNIST,500,4,kmeans,33.33333333333333,0.38733983425442986,0.09303334818479937,0.8806926688644285,34.10910326301376,80.7130708694458,0.5
MNIST,500,5,kmeans,30.0,0.3525451005702134,0.09837148473108091,0.7303172817970788,31.641124365105508,81.96967697143555,0.5
MNIST,500,6,kmeans,26.666666666666668,0.36888421387037,0.11441729397341366,0.9410323057253126,29.841401217699513,75.45348167419434,0.5
MNIST,500,7,kmeans,47.61904761904761,0.54707040491517,0.11441729397341366,1.5778897773699845,40.898073654618926,75.45348167419434,0.5
MNIST,500,8,kmeans,37.5,0.4648286906853887,0.08833405852390301,1.338700188044396,44.50603821434015,80.37552897135417,0.5
MNIST,500,9,kmeans,30.0,0.4345715133984312,0.09494986904625541,1.338700188044396,42.559087077971114,78.11087472098214,0.5
MNIST,500,10,kmeans,24.324324324324326,0.41044075320481405,0.135930924783003,1.352859170735877,40.98617637869304,77.85182762145996,0.5
MNIST,500,11,kmeans,37.77777777777778,0.5386307846051713,0.135930924783003,1.4268203734448832,48.18045877277661,74.75847339630127,0.5
MNIST,500,12,kmeans,32.075471698113205,0.501464349516682,0.08833405852390301,1.5595079638509532,45.63456101810571,69.94992065429688,0.5
